"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-302M1/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-649, 5606]
2023-09-24_04:54:00.000098627, [-707, 5561]
2023-09-24_04:54:00.000197255, [-951, 5476]
2023-09-24_04:54:00.000295883, [-973, 5442]
2023-09-24_04:54:00.000394511, [-822, 5462]
2023-09-24_04:54:00.000493139, [-893, 5399]
2023-09-24_04:54:00.000591767, [-827, 5263]
2023-09-24_04:54:00.000690395, [-594, 5192]
2023-09-24_04:54:00.000789023, [-446, 5222]
2023-09-24_04:54:00.000887651, [-300, 5416]
2023-09-24_04:54:00.000986279, [-39, 5441]
2023-09-24_04:54:00.001084907, [88, 5300]
2023-09-24_04:54:00.001183535, [4, 5369]
2023-09-24_04:54:00.001282163, [-111, 5579]
2023-09-24_04:54:00.001380791, [-312, 5592]
2023-09-24_04:54:00.001479419, [-531, 5392]
2023-09-24_04:54:00.001578047, [-796, 5353]
2023-09-24_04:54:00.001676675, [-723, 5290]
2023-09-24_04:54:00.001775303, [-250, 5301]
2023-09-24_04:54:00.001873931, [-76, 5310]
2023-09-24_04:54:00.001972559, [-192, 5188]
2023-09-24_04:54:00.002071187, [-77, 5222]
2023-09-24_04:54:00.002169815, [81, 5360]
2023-09-24_04:54:00.002268443, [54, 5435]
2023-09-24_04:54:00.002367071, [-28, 5380]
2023-09-24_04:54:00.002465699, [-60, 5325]
2023-09-24_04:54:00.002564326, [-195, 5477]
2023-09-24_04:54:00.002662954, [-230, 5671]
2023-09-24_04:54:00.002761582, [78, 5665]
2023-09-24_04:54:00.002860210, [220, 5475]
2023-09-24_04:54:00.002958838, [-37, 5521]
2023-09-24_04:54:00.003057466, [-173, 5686]
2023-09-24_04:54:00.003156094, [42, 5678]
2023-09-24_04:54:00.003254722, [329, 5675]
2023-09-24_04:54:00.003353350, [450, 5647]
2023-09-24_04:54:00.003451978, [413, 5618]
2023-09-24_04:54:00.003550606, [358, 5509]
2023-09-24_04:54:00.003649234, [431, 5372]
2023-09-24_04:54:00.003747862, [521, 5490]
2023-09-24_04:54:00.003846490, [475, 5628]
2023-09-24_04:54:00.003945118, [268, 5624]
2023-09-24_04:54:00.004043746, [-50, 5645]
2023-09-24_04:54:00.004142374, [-247, 5586]
2023-09-24_04:54:00.004241002, [-98, 5480]
2023-09-24_04:54:00.004339630, [290, 5431]
2023-09-24_04:54:00.004438258, [464, 5414]
2023-09-24_04:54:00.004536886, [371, 5408]
2023-09-24_04:54:00.004635514, [396, 5455]
2023-09-24_04:54:00.004734142, [460, 5497]
2023-09-24_04:54:00.004832770, [536, 5444]
2023-09-24_04:54:00.004931398, [573, 5408]
2023-09-24_04:54:00.005030025, [380, 5528]
2023-09-24_04:54:00.005128653, [177, 5573]
2023-09-24_04:54:00.005227281, [110, 5534]
2023-09-24_04:54:00.005325909, [462, 5543]
2023-09-24_04:54:00.005424537, [697, 5571]
2023-09-24_04:54:00.005523165, [498, 5708]
2023-09-24_04:54:00.005621793, [425, 5845]
2023-09-24_04:54:00.005720421, [364, 5796]
2023-09-24_04:54:00.005819049, [415, 5583]
2023-09-24_04:54:00.005917677, [554, 5394]
2023-09-24_04:54:00.006016305, [634, 5323]
2023-09-24_04:54:00.006114933, [677, 5350]
2023-09-24_04:54:00.006213561, [569, 5343]
2023-09-24_04:54:00.006312189, [400, 5376]
2023-09-24_04:54:00.006410817, [351, 5474]
2023-09-24_04:54:00.006509445, [428, 5535]
2023-09-24_04:54:00.006608073, [449, 5456]
2023-09-24_04:54:00.006706701, [368, 5286]
2023-09-24_04:54:00.006805329, [256, 5207]
2023-09-24_04:54:00.006903957, [281, 5240]
2023-09-24_04:54:00.007002585, [304, 5363]
2023-09-24_04:54:00.007101213, [110, 5438]
2023-09-24_04:54:00.007199841, [76, 5398]
2023-09-24_04:54:00.007298469, [115, 5299]
2023-09-24_04:54:00.007397097, [59, 5263]
2023-09-24_04:54:00.007495724, [109, 5363]
2023-09-24_04:54:00.007594352, [223, 5339]
2023-09-24_04:54:00.007692980, [314, 5263]
2023-09-24_04:54:00.007791608, [204, 5247]
2023-09-24_04:54:00.007890236, [50, 5209]
2023-09-24_04:54:00.007988864, [57, 5125]
2023-09-24_04:54:00.008087492, [182, 5083]
2023-09-24_04:54:00.008186120, [251, 5172]
2023-09-24_04:54:00.008284748, [278, 5201]
2023-09-24_04:54:00.008383376, [397, 5162]
2023-09-24_04:54:00.008482004, [433, 5148]
2023-09-24_04:54:00.008580632, [427, 5143]
2023-09-24_04:54:00.008679260, [417, 4995]
2023-09-24_04:54:00.008777888, [315, 4930]
2023-09-24_04:54:00.008876516, [481, 5064]
2023-09-24_04:54:00.008975144, [595, 5014]
2023-09-24_04:54:00.009073772, [300, 4972]
2023-09-24_04:54:00.009172400, [193, 4901]
