"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-306U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [307, -3560]
2023-09-24_04:54:00.000098627, [378, -3538]
2023-09-24_04:54:00.000197255, [14, -3516]
2023-09-24_04:54:00.000295883, [-431, -3519]
2023-09-24_04:54:00.000394511, [-625, -3569]
2023-09-24_04:54:00.000493139, [-499, -3571]
2023-09-24_04:54:00.000591767, [-184, -3564]
2023-09-24_04:54:00.000690395, [26, -3571]
2023-09-24_04:54:00.000789023, [472, -3622]
2023-09-24_04:54:00.000887651, [886, -3652]
2023-09-24_04:54:00.000986279, [1030, -3634]
2023-09-24_04:54:00.001084907, [1276, -3636]
2023-09-24_04:54:00.001183535, [1246, -3728]
2023-09-24_04:54:00.001282163, [528, -3666]
2023-09-24_04:54:00.001380791, [-561, -3622]
2023-09-24_04:54:00.001479419, [-1257, -3778]
2023-09-24_04:54:00.001578047, [-1293, -3893]
2023-09-24_04:54:00.001676675, [-712, -3816]
2023-09-24_04:54:00.001775303, [189, -3661]
2023-09-24_04:54:00.001873931, [513, -3746]
2023-09-24_04:54:00.001972559, [245, -3905]
2023-09-24_04:54:00.002071187, [422, -3917]
2023-09-24_04:54:00.002169815, [1047, -3820]
2023-09-24_04:54:00.002268443, [1414, -3727]
2023-09-24_04:54:00.002367071, [1052, -3655]
2023-09-24_04:54:00.002465699, [297, -3654]
2023-09-24_04:54:00.002564326, [-145, -3652]
2023-09-24_04:54:00.002662954, [135, -3636]
2023-09-24_04:54:00.002761582, [792, -3747]
2023-09-24_04:54:00.002860210, [979, -3863]
2023-09-24_04:54:00.002958838, [367, -3865]
2023-09-24_04:54:00.003057466, [-441, -3856]
2023-09-24_04:54:00.003156094, [-368, -3782]
2023-09-24_04:54:00.003254722, [579, -3637]
2023-09-24_04:54:00.003353350, [1053, -3558]
2023-09-24_04:54:00.003451978, [794, -3650]
2023-09-24_04:54:00.003550606, [479, -3685]
2023-09-24_04:54:00.003649234, [617, -3660]
2023-09-24_04:54:00.003747862, [1147, -3715]
2023-09-24_04:54:00.003846490, [1227, -3723]
2023-09-24_04:54:00.003945118, [720, -3620]
2023-09-24_04:54:00.004043746, [-13, -3624]
2023-09-24_04:54:00.004142374, [-533, -3738]
2023-09-24_04:54:00.004241002, [-321, -3689]
2023-09-24_04:54:00.004339630, [580, -3613]
2023-09-24_04:54:00.004438258, [1286, -3709]
2023-09-24_04:54:00.004536886, [1209, -3829]
2023-09-24_04:54:00.004635514, [1122, -3786]
2023-09-24_04:54:00.004734142, [1222, -3695]
2023-09-24_04:54:00.004832770, [1288, -3741]
2023-09-24_04:54:00.004931398, [886, -3803]
2023-09-24_04:54:00.005030025, [-125, -3759]
2023-09-24_04:54:00.005128653, [-327, -3769]
2023-09-24_04:54:00.005227281, [380, -3681]
2023-09-24_04:54:00.005325909, [1235, -3611]
2023-09-24_04:54:00.005424537, [1440, -3673]
2023-09-24_04:54:00.005523165, [859, -3657]
2023-09-24_04:54:00.005621793, [666, -3577]
2023-09-24_04:54:00.005720421, [498, -3540]
2023-09-24_04:54:00.005819049, [386, -3638]
2023-09-24_04:54:00.005917677, [556, -3655]
2023-09-24_04:54:00.006016305, [757, -3683]
2023-09-24_04:54:00.006114933, [1010, -3702]
2023-09-24_04:54:00.006213561, [981, -3566]
2023-09-24_04:54:00.006312189, [549, -3595]
2023-09-24_04:54:00.006410817, [296, -3607]
2023-09-24_04:54:00.006509445, [330, -3535]
2023-09-24_04:54:00.006608073, [167, -3491]
2023-09-24_04:54:00.006706701, [-74, -3437]
2023-09-24_04:54:00.006805329, [38, -3558]
2023-09-24_04:54:00.006903957, [459, -3548]
2023-09-24_04:54:00.007002585, [388, -3390]
2023-09-24_04:54:00.007101213, [-178, -3378]
2023-09-24_04:54:00.007199841, [-196, -3442]
2023-09-24_04:54:00.007298469, [241, -3474]
2023-09-24_04:54:00.007397097, [317, -3604]
2023-09-24_04:54:00.007495724, [414, -3625]
2023-09-24_04:54:00.007594352, [852, -3411]
2023-09-24_04:54:00.007692980, [669, -3331]
2023-09-24_04:54:00.007791608, [-135, -3498]
2023-09-24_04:54:00.007890236, [-573, -3542]
2023-09-24_04:54:00.007988864, [-693, -3438]
2023-09-24_04:54:00.008087492, [-681, -3363]
2023-09-24_04:54:00.008186120, [-488, -3378]
2023-09-24_04:54:00.008284748, [-137, -3421]
2023-09-24_04:54:00.008383376, [162, -3347]
2023-09-24_04:54:00.008482004, [201, -3434]
2023-09-24_04:54:00.008580632, [250, -3517]
2023-09-24_04:54:00.008679260, [336, -3404]
2023-09-24_04:54:00.008777888, [475, -3359]
2023-09-24_04:54:00.008876516, [608, -3361]
2023-09-24_04:54:00.008975144, [249, -3381]
2023-09-24_04:54:00.009073772, [-504, -3361]
2023-09-24_04:54:00.009172400, [-882, -3272]
2023-09-24_04:54:00.009271028, [-425, -3234]
2023-09-24_04:54:00.009369656, [-175, -3278]
2023-09-24_04:54:00.009468284, [-636, -3358]
2023-09-24_04:54:00.009566912, [-1041, -3364]
2023-09-24_04:54:00.009665540, [-747, -3358]
2023-09-24_04:54:00.009764168, [-69, -3399]
2023-09-24_04:54:00.009862796, [569, -3305]
2023-09-24_04:54:00.009961423, [865, -3204]
2023-09-24_04:54:00.010060051, [810, -3160]
2023-09-24_04:54:00.010158679, [596, -3142]
2023-09-24_04:54:00.010257307, [93, -3327]
2023-09-24_04:54:00.010355935, [-308, -3469]
2023-09-24_04:54:00.010454563, [-460, -3414]
2023-09-24_04:54:00.010553191, [-614, -3373]
2023-09-24_04:54:00.010651819, [-704, -3380]
2023-09-24_04:54:00.010750447, [-445, -3408]
2023-09-24_04:54:00.010849075, [90, -3418]
2023-09-24_04:54:00.010947703, [310, -3349]
2023-09-24_04:54:00.011046331, [490, -3336]
2023-09-24_04:54:00.011144959, [673, -3332]
2023-09-24_04:54:00.011243587, [679, -3282]
2023-09-24_04:54:00.011342215, [492, -3283]
2023-09-24_04:54:00.011440843, [-91, -3331]
2023-09-24_04:54:00.011539471, [-741, -3379]
2023-09-24_04:54:00.011638099, [-1081, -3380]
2023-09-24_04:54:00.011736727, [-683, -3293]
2023-09-24_04:54:00.011835355, [271, -3297]
2023-09-24_04:54:00.011933983, [703, -3398]
2023-09-24_04:54:00.012032611, [377, -3486]
2023-09-24_04:54:00.012131239, [208, -3499]
2023-09-24_04:54:00.012229867, [699, -3464]
2023-09-24_04:54:00.012328495, [1222, -3393]
2023-09-24_04:54:00.012427122, [821, -3328]
2023-09-24_04:54:00.012525750, [326, -3421]
2023-09-24_04:54:00.012624378, [293, -3505]
2023-09-24_04:54:00.012723006, [-16, -3450]
2023-09-24_04:54:00.012821634, [-391, -3464]
