"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-308U5/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [287, 147]
2023-09-24_04:54:00.000098627, [256, 104]
2023-09-24_04:54:00.000197255, [-228, -2]
2023-09-24_04:54:00.000295883, [-890, 6]
2023-09-24_04:54:00.000394511, [-1223, 10]
2023-09-24_04:54:00.000493139, [-1200, -42]
2023-09-24_04:54:00.000591767, [-874, 33]
2023-09-24_04:54:00.000690395, [-475, 21]
2023-09-24_04:54:00.000789023, [108, 23]
2023-09-24_04:54:00.000887651, [476, 78]
2023-09-24_04:54:00.000986279, [641, -73]
2023-09-24_04:54:00.001084907, [953, -175]
2023-09-24_04:54:00.001183535, [866, -97]
2023-09-24_04:54:00.001282163, [188, -156]
2023-09-24_04:54:00.001380791, [-795, -285]
2023-09-24_04:54:00.001479419, [-1524, -187]
2023-09-24_04:54:00.001578047, [-1605, -22]
2023-09-24_04:54:00.001676675, [-1203, 0]
2023-09-24_04:54:00.001775303, [-494, 6]
2023-09-24_04:54:00.001873931, [-84, -22]
2023-09-24_04:54:00.001972559, [-329, -95]
2023-09-24_04:54:00.002071187, [-325, 37]
2023-09-24_04:54:00.002169815, [299, 66]
2023-09-24_04:54:00.002268443, [661, 9]
2023-09-24_04:54:00.002367071, [119, -193]
2023-09-24_04:54:00.002465699, [-884, -343]
2023-09-24_04:54:00.002564326, [-1268, -277]
2023-09-24_04:54:00.002662954, [-693, -230]
2023-09-24_04:54:00.002761582, [67, -233]
2023-09-24_04:54:00.002860210, [221, -141]
2023-09-24_04:54:00.002958838, [-460, -109]
2023-09-24_04:54:00.003057466, [-1151, -182]
2023-09-24_04:54:00.003156094, [-1066, -31]
2023-09-24_04:54:00.003254722, [-162, -56]
2023-09-24_04:54:00.003353350, [271, -118]
2023-09-24_04:54:00.003451978, [-145, 67]
2023-09-24_04:54:00.003550606, [-361, 63]
2023-09-24_04:54:00.003649234, [-93, -19]
2023-09-24_04:54:00.003747862, [379, -100]
2023-09-24_04:54:00.003846490, [500, -312]
2023-09-24_04:54:00.003945118, [-15, -178]
2023-09-24_04:54:00.004043746, [-926, -5]
2023-09-24_04:54:00.004142374, [-1516, -65]
2023-09-24_04:54:00.004241002, [-1341, -46]
2023-09-24_04:54:00.004339630, [-463, -67]
2023-09-24_04:54:00.004438258, [131, -20]
