"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-311M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-140335, -117338]
2023-09-24_04:54:00.000098627, [-140289, -117355]
2023-09-24_04:54:00.000197255, [-140228, -117391]
2023-09-24_04:54:00.000295883, [-140147, -117414]
2023-09-24_04:54:00.000394511, [-140139, -117326]
2023-09-24_04:54:00.000493139, [-140230, -117235]
2023-09-24_04:54:00.000591767, [-140224, -117293]
2023-09-24_04:54:00.000690395, [-140367, -117264]
2023-09-24_04:54:00.000789023, [-140598, -117049]
2023-09-24_04:54:00.000887651, [-140690, -117006]
2023-09-24_04:54:00.000986279, [-140771, -117130]
2023-09-24_04:54:00.001084907, [-140933, -117167]
2023-09-24_04:54:00.001183535, [-141053, -117146]
2023-09-24_04:54:00.001282163, [-141051, -117104]
2023-09-24_04:54:00.001380791, [-140916, -117122]
2023-09-24_04:54:00.001479419, [-140777, -117202]
2023-09-24_04:54:00.001578047, [-140705, -117228]
2023-09-24_04:54:00.001676675, [-140716, -117290]
2023-09-24_04:54:00.001775303, [-140936, -117312]
2023-09-24_04:54:00.001873931, [-141149, -117410]
2023-09-24_04:54:00.001972559, [-141082, -117499]
2023-09-24_04:54:00.002071187, [-140947, -117438]
2023-09-24_04:54:00.002169815, [-141002, -117306]
2023-09-24_04:54:00.002268443, [-140889, -117244]
2023-09-24_04:54:00.002367071, [-140680, -117197]
2023-09-24_04:54:00.002465699, [-140839, -117055]
2023-09-24_04:54:00.002564326, [-141060, -117113]
2023-09-24_04:54:00.002662954, [-141067, -117217]
2023-09-24_04:54:00.002761582, [-141006, -117110]
2023-09-24_04:54:00.002860210, [-141053, -117044]
2023-09-24_04:54:00.002958838, [-141278, -117089]
2023-09-24_04:54:00.003057466, [-141228, -117204]
2023-09-24_04:54:00.003156094, [-141002, -117272]
2023-09-24_04:54:00.003254722, [-140998, -117232]
2023-09-24_04:54:00.003353350, [-141023, -117276]
2023-09-24_04:54:00.003451978, [-140995, -117210]
2023-09-24_04:54:00.003550606, [-140985, -117071]
2023-09-24_04:54:00.003649234, [-140947, -116953]
2023-09-24_04:54:00.003747862, [-141020, -116966]
2023-09-24_04:54:00.003846490, [-141051, -117032]
2023-09-24_04:54:00.003945118, [-140998, -117171]
2023-09-24_04:54:00.004043746, [-140987, -117314]
2023-09-24_04:54:00.004142374, [-140956, -117177]
2023-09-24_04:54:00.004241002, [-140986, -117191]
2023-09-24_04:54:00.004339630, [-141028, -117403]
2023-09-24_04:54:00.004438258, [-141092, -117453]
2023-09-24_04:54:00.004536886, [-141126, -117371]
2023-09-24_04:54:00.004635514, [-141144, -117342]
2023-09-24_04:54:00.004734142, [-141120, -117336]
2023-09-24_04:54:00.004832770, [-141009, -117339]
2023-09-24_04:54:00.004931398, [-140860, -117230]
2023-09-24_04:54:00.005030025, [-140898, -117075]
2023-09-24_04:54:00.005128653, [-141048, -117238]
2023-09-24_04:54:00.005227281, [-141214, -117456]
2023-09-24_04:54:00.005325909, [-141375, -117508]
2023-09-24_04:54:00.005424537, [-141325, -117533]
2023-09-24_04:54:00.005523165, [-141262, -117473]
2023-09-24_04:54:00.005621793, [-141322, -117506]
2023-09-24_04:54:00.005720421, [-141404, -117587]
2023-09-24_04:54:00.005819049, [-141379, -117548]
2023-09-24_04:54:00.005917677, [-141447, -117484]
2023-09-24_04:54:00.006016305, [-141515, -117489]
2023-09-24_04:54:00.006114933, [-141348, -117523]
2023-09-24_04:54:00.006213561, [-141361, -117551]
2023-09-24_04:54:00.006312189, [-141422, -117573]
2023-09-24_04:54:00.006410817, [-141393, -117379]
2023-09-24_04:54:00.006509445, [-141312, -117290]
2023-09-24_04:54:00.006608073, [-141279, -117390]
2023-09-24_04:54:00.006706701, [-141216, -117511]
2023-09-24_04:54:00.006805329, [-141017, -117679]
2023-09-24_04:54:00.006903957, [-140933, -117650]
2023-09-24_04:54:00.007002585, [-140998, -117537]
2023-09-24_04:54:00.007101213, [-140959, -117535]
2023-09-24_04:54:00.007199841, [-140793, -117451]
2023-09-24_04:54:00.007298469, [-140834, -117368]
2023-09-24_04:54:00.007397097, [-140729, -117456]
2023-09-24_04:54:00.007495724, [-140478, -117523]
2023-09-24_04:54:00.007594352, [-140453, -117608]
2023-09-24_04:54:00.007692980, [-140533, -117532]
2023-09-24_04:54:00.007791608, [-140427, -117401]
2023-09-24_04:54:00.007890236, [-140196, -117353]
2023-09-24_04:54:00.007988864, [-140058, -117385]
2023-09-24_04:54:00.008087492, [-139849, -117461]
2023-09-24_04:54:00.008186120, [-139682, -117449]
2023-09-24_04:54:00.008284748, [-139645, -117398]
2023-09-24_04:54:00.008383376, [-139711, -117481]
2023-09-24_04:54:00.008482004, [-139718, -117536]
2023-09-24_04:54:00.008580632, [-139591, -117480]
2023-09-24_04:54:00.008679260, [-139563, -117408]
2023-09-24_04:54:00.008777888, [-139717, -117370]
2023-09-24_04:54:00.008876516, [-139769, -117462]
2023-09-24_04:54:00.008975144, [-139635, -117473]
2023-09-24_04:54:00.009073772, [-139506, -117486]
2023-09-24_04:54:00.009172400, [-139431, -117452]
