"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-314M1/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [320, 3412]
2023-09-24_04:54:00.000098627, [305, 3355]
2023-09-24_04:54:00.000197255, [89, 3162]
2023-09-24_04:54:00.000295883, [-32, 3112]
2023-09-24_04:54:00.000394511, [78, 3213]
2023-09-24_04:54:00.000493139, [115, 3226]
2023-09-24_04:54:00.000591767, [83, 3166]
2023-09-24_04:54:00.000690395, [-24, 3153]
2023-09-24_04:54:00.000789023, [93, 3240]
2023-09-24_04:54:00.000887651, [362, 3292]
2023-09-24_04:54:00.000986279, [437, 3345]
2023-09-24_04:54:00.001084907, [639, 3422]
2023-09-24_04:54:00.001183535, [669, 3334]
2023-09-24_04:54:00.001282163, [286, 3213]
2023-09-24_04:54:00.001380791, [-200, 3193]
2023-09-24_04:54:00.001479419, [-435, 3123]
2023-09-24_04:54:00.001578047, [-488, 3098]
2023-09-24_04:54:00.001676675, [-327, 3174]
2023-09-24_04:54:00.001775303, [2, 3235]
2023-09-24_04:54:00.001873931, [173, 3245]
2023-09-24_04:54:00.001972559, [15, 3303]
2023-09-24_04:54:00.002071187, [-61, 3347]
2023-09-24_04:54:00.002169815, [219, 3268]
2023-09-24_04:54:00.002268443, [421, 3262]
2023-09-24_04:54:00.002367071, [220, 3411]
2023-09-24_04:54:00.002465699, [-113, 3542]
2023-09-24_04:54:00.002564326, [-145, 3551]
2023-09-24_04:54:00.002662954, [-5, 3584]
2023-09-24_04:54:00.002761582, [126, 3576]
2023-09-24_04:54:00.002860210, [161, 3469]
2023-09-24_04:54:00.002958838, [-48, 3330]
2023-09-24_04:54:00.003057466, [-303, 3135]
2023-09-24_04:54:00.003156094, [-258, 3134]
2023-09-24_04:54:00.003254722, [80, 3223]
2023-09-24_04:54:00.003353350, [245, 3190]
2023-09-24_04:54:00.003451978, [163, 3236]
2023-09-24_04:54:00.003550606, [126, 3276]
2023-09-24_04:54:00.003649234, [139, 3251]
2023-09-24_04:54:00.003747862, [265, 3199]
2023-09-24_04:54:00.003846490, [275, 3296]
2023-09-24_04:54:00.003945118, [8, 3455]
2023-09-24_04:54:00.004043746, [-318, 3468]
2023-09-24_04:54:00.004142374, [-530, 3383]
2023-09-24_04:54:00.004241002, [-371, 3342]
2023-09-24_04:54:00.004339630, [10, 3357]
2023-09-24_04:54:00.004438258, [144, 3261]
2023-09-24_04:54:00.004536886, [31, 3231]
2023-09-24_04:54:00.004635514, [-87, 3337]
2023-09-24_04:54:00.004734142, [-61, 3385]
2023-09-24_04:54:00.004832770, [65, 3394]
2023-09-24_04:54:00.004931398, [99, 3446]
2023-09-24_04:54:00.005030025, [-147, 3478]
2023-09-24_04:54:00.005128653, [-305, 3479]
2023-09-24_04:54:00.005227281, [-185, 3381]
2023-09-24_04:54:00.005325909, [69, 3259]
2023-09-24_04:54:00.005424537, [179, 3274]
2023-09-24_04:54:00.005523165, [-83, 3242]
2023-09-24_04:54:00.005621793, [-65, 3185]
2023-09-24_04:54:00.005720421, [-104, 3143]
2023-09-24_04:54:00.005819049, [-315, 3062]
2023-09-24_04:54:00.005917677, [-252, 3100]
2023-09-24_04:54:00.006016305, [-184, 3148]
2023-09-24_04:54:00.006114933, [-79, 3209]
2023-09-24_04:54:00.006213561, [-165, 3363]
2023-09-24_04:54:00.006312189, [-261, 3453]
2023-09-24_04:54:00.006410817, [-166, 3436]
2023-09-24_04:54:00.006509445, [-143, 3237]
2023-09-24_04:54:00.006608073, [-56, 3160]
2023-09-24_04:54:00.006706701, [-69, 3174]
2023-09-24_04:54:00.006805329, [-27, 3019]
2023-09-24_04:54:00.006903957, [70, 3089]
2023-09-24_04:54:00.007002585, [-101, 3280]
2023-09-24_04:54:00.007101213, [-270, 3222]
2023-09-24_04:54:00.007199841, [-277, 3180]
2023-09-24_04:54:00.007298469, [-146, 3106]
2023-09-24_04:54:00.007397097, [-108, 3077]
2023-09-24_04:54:00.007495724, [-123, 3045]
2023-09-24_04:54:00.007594352, [-95, 3096]
2023-09-24_04:54:00.007692980, [-183, 3120]
2023-09-24_04:54:00.007791608, [-335, 3043]
2023-09-24_04:54:00.007890236, [-437, 3132]
2023-09-24_04:54:00.007988864, [-513, 3120]
2023-09-24_04:54:00.008087492, [-477, 3085]
2023-09-24_04:54:00.008186120, [-267, 3159]
2023-09-24_04:54:00.008284748, [-89, 3166]
2023-09-24_04:54:00.008383376, [-99, 2927]
2023-09-24_04:54:00.008482004, [-20, 2751]
2023-09-24_04:54:00.008580632, [75, 2861]
2023-09-24_04:54:00.008679260, [24, 2967]
2023-09-24_04:54:00.008777888, [0, 2908]
2023-09-24_04:54:00.008876516, [-33, 2896]
2023-09-24_04:54:00.008975144, [-90, 2951]
2023-09-24_04:54:00.009073772, [-336, 3037]
2023-09-24_04:54:00.009172400, [-529, 3117]
2023-09-24_04:54:00.009271028, [-139, 3054]
2023-09-24_04:54:00.009369656, [92, 2929]
2023-09-24_04:54:00.009468284, [-78, 2865]
2023-09-24_04:54:00.009566912, [-335, 2987]
2023-09-24_04:54:00.009665540, [-252, 3045]
2023-09-24_04:54:00.009764168, [91, 2883]
2023-09-24_04:54:00.009862796, [215, 2796]
2023-09-24_04:54:00.009961423, [253, 2840]
2023-09-24_04:54:00.010060051, [265, 2890]
2023-09-24_04:54:00.010158679, [170, 2897]
2023-09-24_04:54:00.010257307, [44, 2885]
2023-09-24_04:54:00.010355935, [-48, 2970]
2023-09-24_04:54:00.010454563, [-103, 3026]
2023-09-24_04:54:00.010553191, [-86, 2955]
2023-09-24_04:54:00.010651819, [-102, 2975]
2023-09-24_04:54:00.010750447, [128, 3012]
2023-09-24_04:54:00.010849075, [236, 2961]
2023-09-24_04:54:00.010947703, [-2, 2894]
2023-09-24_04:54:00.011046331, [55, 2903]
2023-09-24_04:54:00.011144959, [108, 2922]
2023-09-24_04:54:00.011243587, [151, 2867]
2023-09-24_04:54:00.011342215, [262, 2866]
2023-09-24_04:54:00.011440843, [134, 2824]
2023-09-24_04:54:00.011539471, [-79, 2677]
2023-09-24_04:54:00.011638099, [-166, 2713]
2023-09-24_04:54:00.011736727, [2, 2825]
2023-09-24_04:54:00.011835355, [261, 2908]
2023-09-24_04:54:00.011933983, [343, 2910]
2023-09-24_04:54:00.012032611, [205, 2897]
2023-09-24_04:54:00.012131239, [104, 2922]
2023-09-24_04:54:00.012229867, [273, 2891]
2023-09-24_04:54:00.012328495, [503, 2818]
2023-09-24_04:54:00.012427122, [422, 2700]
2023-09-24_04:54:00.012525750, [209, 2654]
2023-09-24_04:54:00.012624378, [216, 2756]
2023-09-24_04:54:00.012723006, [345, 2936]
2023-09-24_04:54:00.012821634, [254, 2895]
2023-09-24_04:54:00.012920262, [188, 2797]
2023-09-24_04:54:00.013018890, [372, 2844]
2023-09-24_04:54:00.013117518, [560, 2827]
2023-09-24_04:54:00.013216146, [517, 2916]
2023-09-24_04:54:00.013314774, [472, 2963]
2023-09-24_04:54:00.013413402, [546, 2947]
2023-09-24_04:54:00.013512030, [465, 2940]
2023-09-24_04:54:00.013610658, [459, 2847]
2023-09-24_04:54:00.013709286, [265, 2882]
2023-09-24_04:54:00.013807914, [-143, 3006]
2023-09-24_04:54:00.013906542, [-144, 3102]
2023-09-24_04:54:00.014005170, [189, 3131]
2023-09-24_04:54:00.014103798, [434, 3084]
2023-09-24_04:54:00.014202426, [266, 2980]
2023-09-24_04:54:00.014301054, [103, 2971]
2023-09-24_04:54:00.014399682, [194, 3140]
2023-09-24_04:54:00.014498310, [62, 3317]
2023-09-24_04:54:00.014596938, [123, 3314]
2023-09-24_04:54:00.014695566, [467, 3454]
2023-09-24_04:54:00.014794194, [664, 3624]
2023-09-24_04:54:00.014892821, [626, 3580]
2023-09-24_04:54:00.014991449, [428, 3490]
2023-09-24_04:54:00.015090077, [203, 3370]
2023-09-24_04:54:00.015188705, [3, 3420]
2023-09-24_04:54:00.015287333, [-236, 3510]
2023-09-24_04:54:00.015385961, [-15, 3395]
2023-09-24_04:54:00.015484589, [494, 3407]
2023-09-24_04:54:00.015583217, [644, 3333]
2023-09-24_04:54:00.015681845, [667, 3376]
2023-09-24_04:54:00.015780473, [592, 3535]
2023-09-24_04:54:00.015879101, [503, 3417]
2023-09-24_04:54:00.015977729, [418, 3278]
2023-09-24_04:54:00.016076357, [266, 3254]
2023-09-24_04:54:00.016174985, [-31, 3294]
2023-09-24_04:54:00.016273613, [-339, 3175]
2023-09-24_04:54:00.016372241, [-252, 3176]
2023-09-24_04:54:00.016470869, [-62, 3198]
2023-09-24_04:54:00.016569497, [68, 3227]
2023-09-24_04:54:00.016668125, [133, 3305]
2023-09-24_04:54:00.016766753, [157, 3306]
2023-09-24_04:54:00.016865381, [254, 3325]
2023-09-24_04:54:00.016964009, [293, 3314]
2023-09-24_04:54:00.017062637, [227, 3414]
2023-09-24_04:54:00.017161265, [40, 3475]
2023-09-24_04:54:00.017259893, [-77, 3492]
2023-09-24_04:54:00.017358520, [-146, 3457]
2023-09-24_04:54:00.017457148, [-297, 3330]
2023-09-24_04:54:00.017555776, [-401, 3202]
2023-09-24_04:54:00.017654404, [-156, 2972]
2023-09-24_04:54:00.017753032, [152, 2896]
2023-09-24_04:54:00.017851660, [145, 2953]
2023-09-24_04:54:00.017950288, [-25, 3025]
2023-09-24_04:54:00.018048916, [-32, 3046]
2023-09-24_04:54:00.018147544, [52, 3095]
2023-09-24_04:54:00.018246172, [123, 3216]
2023-09-24_04:54:00.018344800, [279, 3176]
2023-09-24_04:54:00.018443428, [284, 3059]
2023-09-24_04:54:00.018542056, [-41, 2938]
2023-09-24_04:54:00.018640684, [-172, 3068]
2023-09-24_04:54:00.018739312, [-87, 3196]
2023-09-24_04:54:00.018837940, [-170, 3039]
2023-09-24_04:54:00.018936568, [-256, 2957]
2023-09-24_04:54:00.019035196, [-178, 3001]
2023-09-24_04:54:00.019133824, [24, 2965]
2023-09-24_04:54:00.019232452, [134, 2993]
2023-09-24_04:54:00.019331080, [78, 3128]
2023-09-24_04:54:00.019429708, [21, 3106]
2023-09-24_04:54:00.019528336, [-6, 3147]
2023-09-24_04:54:00.019626964, [-45, 3281]
2023-09-24_04:54:00.019725592, [-67, 3204]
2023-09-24_04:54:00.019824220, [-166, 2928]
2023-09-24_04:54:00.019922847, [-233, 2784]
2023-09-24_04:54:00.020021475, [-214, 2994]
2023-09-24_04:54:00.020120103, [-320, 3224]
2023-09-24_04:54:00.020218731, [-171, 3068]
2023-09-24_04:54:00.020317359, [221, 2913]
2023-09-24_04:54:00.020415987, [291, 3083]
2023-09-24_04:54:00.020514615, [139, 3098]
2023-09-24_04:54:00.020613243, [-72, 2934]
2023-09-24_04:54:00.020711871, [-305, 2944]
2023-09-24_04:54:00.020810499, [-301, 3117]
2023-09-24_04:54:00.020909127, [-65, 3251]
2023-09-24_04:54:00.021007755, [291, 3226]
2023-09-24_04:54:00.021106383, [371, 3277]
2023-09-24_04:54:00.021205011, [113, 3278]
2023-09-24_04:54:00.021303639, [-75, 3107]
2023-09-24_04:54:00.021402267, [-129, 3037]
2023-09-24_04:54:00.021500895, [-224, 3103]
2023-09-24_04:54:00.021599523, [-29, 3274]
2023-09-24_04:54:00.021698151, [206, 3360]
2023-09-24_04:54:00.021796779, [249, 3333]
2023-09-24_04:54:00.021895407, [321, 3236]
2023-09-24_04:54:00.021994035, [399, 3155]
2023-09-24_04:54:00.022092663, [382, 3302]
2023-09-24_04:54:00.022191291, [288, 3435]
2023-09-24_04:54:00.022289919, [135, 3454]
2023-09-24_04:54:00.022388546, [25, 3356]
2023-09-24_04:54:00.022487174, [126, 3342]
2023-09-24_04:54:00.022585802, [-38, 3313]
2023-09-24_04:54:00.022684430, [-235, 3243]
2023-09-24_04:54:00.022783058, [-140, 3402]
2023-09-24_04:54:00.022881686, [-22, 3543]
2023-09-24_04:54:00.022980314, [115, 3488]
2023-09-24_04:54:00.023078942, [186, 3414]
2023-09-24_04:54:00.023177570, [220, 3463]
2023-09-24_04:54:00.023276198, [120, 3497]
2023-09-24_04:54:00.023374826, [-48, 3466]
2023-09-24_04:54:00.023473454, [-128, 3538]
2023-09-24_04:54:00.023572082, [-31, 3532]
2023-09-24_04:54:00.023670710, [3, 3476]
2023-09-24_04:54:00.023769338, [19, 3423]
2023-09-24_04:54:00.023867966, [142, 3428]
2023-09-24_04:54:00.023966594, [129, 3529]
2023-09-24_04:54:00.024065222, [-57, 3539]
2023-09-24_04:54:00.024163850, [-298, 3499]
2023-09-24_04:54:00.024262478, [-227, 3509]
2023-09-24_04:54:00.024361106, [-7, 3583]
2023-09-24_04:54:00.024459734, [67, 3670]
2023-09-24_04:54:00.024558362, [181, 3669]
2023-09-24_04:54:00.024656990, [143, 3561]
2023-09-24_04:54:00.024755618, [-19, 3418]
2023-09-24_04:54:00.024854245, [-182, 3414]
2023-09-24_04:54:00.024952873, [-246, 3393]
2023-09-24_04:54:00.025051501, [-143, 3305]
2023-09-24_04:54:00.025150129, [-90, 3313]
2023-09-24_04:54:00.025248757, [9, 3437]
2023-09-24_04:54:00.025347385, [120, 3472]
2023-09-24_04:54:00.025446013, [129, 3555]
2023-09-24_04:54:00.025544641, [-57, 3582]
2023-09-24_04:54:00.025643269, [-49, 3429]
2023-09-24_04:54:00.025741897, [-10, 3456]
2023-09-24_04:54:00.025840525, [-172, 3503]
2023-09-24_04:54:00.025939153, [-252, 3373]
2023-09-24_04:54:00.026037781, [-427, 3200]
2023-09-24_04:54:00.026136409, [-293, 3003]
2023-09-24_04:54:00.026235037, [-145, 2977]
2023-09-24_04:54:00.026333665, [-283, 3140]
2023-09-24_04:54:00.026432293, [-301, 3208]
2023-09-24_04:54:00.026530921, [-265, 3240]
2023-09-24_04:54:00.026629549, [-177, 3315]
2023-09-24_04:54:00.026728177, [-102, 3291]
2023-09-24_04:54:00.026826805, [-136, 3240]
2023-09-24_04:54:00.026925433, [-168, 3301]
2023-09-24_04:54:00.027024061, [-152, 3332]
2023-09-24_04:54:00.027122689, [-169, 3372]
2023-09-24_04:54:00.027221317, [-217, 3428]
2023-09-24_04:54:00.027319944, [-282, 3444]
2023-09-24_04:54:00.027418572, [-260, 3500]
2023-09-24_04:54:00.027517200, [-102, 3447]
2023-09-24_04:54:00.027615828, [-125, 3369]
2023-09-24_04:54:00.027714456, [-318, 3301]
2023-09-24_04:54:00.027813084, [-368, 3192]
2023-09-24_04:54:00.027911712, [-273, 3203]
2023-09-24_04:54:00.028010340, [-216, 3341]
2023-09-24_04:54:00.028108968, [-123, 3312]
2023-09-24_04:54:00.028207596, [-97, 3088]
2023-09-24_04:54:00.028306224, [-124, 3136]
2023-09-24_04:54:00.028404852, [-253, 3274]
2023-09-24_04:54:00.028503480, [-492, 3167]
2023-09-24_04:54:00.028602108, [-555, 3059]
2023-09-24_04:54:00.028700736, [-388, 3076]
2023-09-24_04:54:00.028799364, [-237, 3063]
2023-09-24_04:54:00.028897992, [-251, 3071]
2023-09-24_04:54:00.028996620, [-370, 3073]
2023-09-24_04:54:00.029095248, [-467, 3074]
2023-09-24_04:54:00.029193876, [-314, 3117]
2023-09-24_04:54:00.029292504, [-123, 3074]
2023-09-24_04:54:00.029391132, [-86, 3111]
2023-09-24_04:54:00.029489760, [-113, 3214]
2023-09-24_04:54:00.029588388, [-293, 3152]
2023-09-24_04:54:00.029687016, [-271, 3155]
2023-09-24_04:54:00.029785643, [-202, 3141]
2023-09-24_04:54:00.029884271, [-262, 3075]
