"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [12485, -82239]
2023-09-24_04:54:00.000098627, [12374, -82140]
2023-09-24_04:54:00.000197255, [12331, -82081]
2023-09-24_04:54:00.000295883, [12312, -82092]
2023-09-24_04:54:00.000394511, [12339, -82137]
2023-09-24_04:54:00.000493139, [12265, -82230]
2023-09-24_04:54:00.000591767, [12068, -82265]
2023-09-24_04:54:00.000690395, [11947, -82224]
2023-09-24_04:54:00.000789023, [11794, -82155]
2023-09-24_04:54:00.000887651, [11736, -82120]
2023-09-24_04:54:00.000986279, [11785, -82093]
2023-09-24_04:54:00.001084907, [11739, -81988]
2023-09-24_04:54:00.001183535, [11708, -81905]
2023-09-24_04:54:00.001282163, [11712, -81960]
2023-09-24_04:54:00.001380791, [11832, -81984]
2023-09-24_04:54:00.001479419, [11869, -82040]
2023-09-24_04:54:00.001578047, [11723, -82025]
2023-09-24_04:54:00.001676675, [11565, -82031]
2023-09-24_04:54:00.001775303, [11470, -82040]
2023-09-24_04:54:00.001873931, [11415, -81912]
2023-09-24_04:54:00.001972559, [11398, -81765]
2023-09-24_04:54:00.002071187, [11377, -81756]
2023-09-24_04:54:00.002169815, [11370, -81886]
2023-09-24_04:54:00.002268443, [11440, -81943]
2023-09-24_04:54:00.002367071, [11504, -81935]
2023-09-24_04:54:00.002465699, [11635, -82002]
2023-09-24_04:54:00.002564326, [11634, -82049]
2023-09-24_04:54:00.002662954, [11515, -81955]
2023-09-24_04:54:00.002761582, [11507, -81860]
2023-09-24_04:54:00.002860210, [11515, -81913]
2023-09-24_04:54:00.002958838, [11525, -81842]
2023-09-24_04:54:00.003057466, [11530, -81778]
2023-09-24_04:54:00.003156094, [11534, -81903]
2023-09-24_04:54:00.003254722, [11457, -82113]
2023-09-24_04:54:00.003353350, [11430, -82122]
2023-09-24_04:54:00.003451978, [11457, -82110]
2023-09-24_04:54:00.003550606, [11345, -82113]
2023-09-24_04:54:00.003649234, [11253, -82035]
2023-09-24_04:54:00.003747862, [11178, -82020]
2023-09-24_04:54:00.003846490, [11259, -82032]
2023-09-24_04:54:00.003945118, [11267, -82050]
2023-09-24_04:54:00.004043746, [11194, -82159]
2023-09-24_04:54:00.004142374, [11260, -82242]
2023-09-24_04:54:00.004241002, [11224, -82150]
2023-09-24_04:54:00.004339630, [11129, -82047]
2023-09-24_04:54:00.004438258, [11076, -81970]
2023-09-24_04:54:00.004536886, [11057, -82073]
2023-09-24_04:54:00.004635514, [11036, -82203]
2023-09-24_04:54:00.004734142, [10919, -82214]
2023-09-24_04:54:00.004832770, [11007, -82141]
2023-09-24_04:54:00.004931398, [11043, -82063]
2023-09-24_04:54:00.005030025, [10949, -82028]
2023-09-24_04:54:00.005128653, [10899, -82070]
2023-09-24_04:54:00.005227281, [10846, -82113]
2023-09-24_04:54:00.005325909, [10940, -82095]
2023-09-24_04:54:00.005424537, [10975, -82153]
2023-09-24_04:54:00.005523165, [10895, -82193]
2023-09-24_04:54:00.005621793, [10831, -82157]
2023-09-24_04:54:00.005720421, [10695, -82171]
2023-09-24_04:54:00.005819049, [10656, -82128]
2023-09-24_04:54:00.005917677, [10694, -82185]
2023-09-24_04:54:00.006016305, [10654, -82358]
2023-09-24_04:54:00.006114933, [10536, -82334]
2023-09-24_04:54:00.006213561, [10545, -82162]
2023-09-24_04:54:00.006312189, [10583, -82166]
2023-09-24_04:54:00.006410817, [10705, -82242]
2023-09-24_04:54:00.006509445, [10869, -82242]
2023-09-24_04:54:00.006608073, [10782, -82192]
2023-09-24_04:54:00.006706701, [10772, -82240]
2023-09-24_04:54:00.006805329, [10915, -82399]
2023-09-24_04:54:00.006903957, [10846, -82446]
2023-09-24_04:54:00.007002585, [10790, -82341]
2023-09-24_04:54:00.007101213, [10930, -82350]
2023-09-24_04:54:00.007199841, [11032, -82347]
2023-09-24_04:54:00.007298469, [11072, -82286]
2023-09-24_04:54:00.007397097, [11114, -82251]
2023-09-24_04:54:00.007495724, [11152, -82167]
2023-09-24_04:54:00.007594352, [11113, -82097]
2023-09-24_04:54:00.007692980, [11046, -82048]
2023-09-24_04:54:00.007791608, [11297, -82030]
2023-09-24_04:54:00.007890236, [11502, -82127]
2023-09-24_04:54:00.007988864, [11340, -82249]
2023-09-24_04:54:00.008087492, [11386, -82273]
2023-09-24_04:54:00.008186120, [11510, -82224]
2023-09-24_04:54:00.008284748, [11427, -82199]
2023-09-24_04:54:00.008383376, [11418, -82235]
2023-09-24_04:54:00.008482004, [11445, -82220]
2023-09-24_04:54:00.008580632, [11542, -82276]
2023-09-24_04:54:00.008679260, [11621, -82319]
2023-09-24_04:54:00.008777888, [11537, -82247]
2023-09-24_04:54:00.008876516, [11621, -82308]
2023-09-24_04:54:00.008975144, [11736, -82409]
2023-09-24_04:54:00.009073772, [11881, -82270]
2023-09-24_04:54:00.009172400, [12002, -82075]
2023-09-24_04:54:00.009271028, [11965, -82113]
2023-09-24_04:54:00.009369656, [11942, -82372]
2023-09-24_04:54:00.009468284, [11927, -82540]
2023-09-24_04:54:00.009566912, [11947, -82543]
2023-09-24_04:54:00.009665540, [12047, -82364]
2023-09-24_04:54:00.009764168, [12160, -82177]
2023-09-24_04:54:00.009862796, [12099, -82142]
2023-09-24_04:54:00.009961423, [12066, -82223]
2023-09-24_04:54:00.010060051, [12089, -82275]
2023-09-24_04:54:00.010158679, [12006, -82256]
2023-09-24_04:54:00.010257307, [12024, -82290]
2023-09-24_04:54:00.010355935, [12102, -82363]
2023-09-24_04:54:00.010454563, [12294, -82320]
2023-09-24_04:54:00.010553191, [12284, -82204]
2023-09-24_04:54:00.010651819, [12221, -82264]
2023-09-24_04:54:00.010750447, [12300, -82413]
2023-09-24_04:54:00.010849075, [12251, -82532]
2023-09-24_04:54:00.010947703, [12188, -82440]
2023-09-24_04:54:00.011046331, [12063, -82324]
2023-09-24_04:54:00.011144959, [11926, -82216]
2023-09-24_04:54:00.011243587, [11885, -82157]
2023-09-24_04:54:00.011342215, [11791, -82199]
2023-09-24_04:54:00.011440843, [11828, -82305]
2023-09-24_04:54:00.011539471, [11945, -82427]
2023-09-24_04:54:00.011638099, [12035, -82391]
2023-09-24_04:54:00.011736727, [11978, -82369]
2023-09-24_04:54:00.011835355, [11786, -82421]
2023-09-24_04:54:00.011933983, [11746, -82418]
2023-09-24_04:54:00.012032611, [11823, -82465]
2023-09-24_04:54:00.012131239, [11947, -82493]
2023-09-24_04:54:00.012229867, [11947, -82450]
2023-09-24_04:54:00.012328495, [11847, -82325]
2023-09-24_04:54:00.012427122, [11978, -82247]
2023-09-24_04:54:00.012525750, [12072, -82247]
2023-09-24_04:54:00.012624378, [12084, -82354]
2023-09-24_04:54:00.012723006, [12283, -82397]
2023-09-24_04:54:00.012821634, [12380, -82235]
2023-09-24_04:54:00.012920262, [12528, -82158]
2023-09-24_04:54:00.013018890, [12561, -82240]
2023-09-24_04:54:00.013117518, [12347, -82203]
2023-09-24_04:54:00.013216146, [12155, -82185]
2023-09-24_04:54:00.013314774, [12046, -82277]
2023-09-24_04:54:00.013413402, [12180, -82310]
2023-09-24_04:54:00.013512030, [12415, -82333]
2023-09-24_04:54:00.013610658, [12516, -82365]
2023-09-24_04:54:00.013709286, [12422, -82293]
2023-09-24_04:54:00.013807914, [12327, -82226]
2023-09-24_04:54:00.013906542, [12275, -82180]
2023-09-24_04:54:00.014005170, [12259, -82156]
2023-09-24_04:54:00.014103798, [12127, -82120]
2023-09-24_04:54:00.014202426, [11907, -82052]
