"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [-2399, 240]
2023-09-24_04:54:00.000098627, [-2162, 156]
2023-09-24_04:54:00.000197255, [-2494, 5]
2023-09-24_04:54:00.000295883, [-2898, 80]
2023-09-24_04:54:00.000394511, [-2984, 166]
2023-09-24_04:54:00.000493139, [-2926, 54]
2023-09-24_04:54:00.000591767, [-2557, 28]
2023-09-24_04:54:00.000690395, [-2191, 103]
2023-09-24_04:54:00.000789023, [-1633, 176]
2023-09-24_04:54:00.000887651, [-968, 204]
2023-09-24_04:54:00.000986279, [-593, 159]
2023-09-24_04:54:00.001084907, [-143, 225]
2023-09-24_04:54:00.001183535, [-90, 275]
2023-09-24_04:54:00.001282163, [-535, 324]
2023-09-24_04:54:00.001380791, [-1239, 362]
2023-09-24_04:54:00.001479419, [-1800, 290]
2023-09-24_04:54:00.001578047, [-1866, 121]
2023-09-24_04:54:00.001676675, [-1391, -38]
2023-09-24_04:54:00.001775303, [-508, 53]
2023-09-24_04:54:00.001873931, [-180, 143]
2023-09-24_04:54:00.001972559, [-437, 181]
2023-09-24_04:54:00.002071187, [-372, 113]
2023-09-24_04:54:00.002169815, [190, 67]
2023-09-24_04:54:00.002268443, [555, 136]
2023-09-24_04:54:00.002367071, [196, 303]
2023-09-24_04:54:00.002465699, [-529, 385]
2023-09-24_04:54:00.002564326, [-879, 223]
2023-09-24_04:54:00.002662954, [-463, 133]
2023-09-24_04:54:00.002761582, [309, 259]
2023-09-24_04:54:00.002860210, [577, 295]
2023-09-24_04:54:00.002958838, [-134, 212]
2023-09-24_04:54:00.003057466, [-796, 26]
2023-09-24_04:54:00.003156094, [-507, -142]
2023-09-24_04:54:00.003254722, [243, -68]
2023-09-24_04:54:00.003353350, [715, -105]
2023-09-24_04:54:00.003451978, [707, -132]
2023-09-24_04:54:00.003550606, [544, -73]
2023-09-24_04:54:00.003649234, [656, 98]
2023-09-24_04:54:00.003747862, [1029, 204]
2023-09-24_04:54:00.003846490, [1231, 165]
2023-09-24_04:54:00.003945118, [821, 196]
2023-09-24_04:54:00.004043746, [-1, 137]
2023-09-24_04:54:00.004142374, [-405, 77]
2023-09-24_04:54:00.004241002, [-51, 74]
2023-09-24_04:54:00.004339630, [814, -15]
2023-09-24_04:54:00.004438258, [1385, -11]
2023-09-24_04:54:00.004536886, [1246, 94]
2023-09-24_04:54:00.004635514, [1394, 138]
2023-09-24_04:54:00.004734142, [1812, 130]
2023-09-24_04:54:00.004832770, [1884, 81]
2023-09-24_04:54:00.004931398, [1467, 7]
2023-09-24_04:54:00.005030025, [780, -60]
2023-09-24_04:54:00.005128653, [665, -8]
2023-09-24_04:54:00.005227281, [1110, 41]
2023-09-24_04:54:00.005325909, [1854, 37]
2023-09-24_04:54:00.005424537, [2172, -108]
2023-09-24_04:54:00.005523165, [1702, -242]
2023-09-24_04:54:00.005621793, [1576, -152]
2023-09-24_04:54:00.005720421, [1644, -167]
2023-09-24_04:54:00.005819049, [1563, -149]
2023-09-24_04:54:00.005917677, [1679, -33]
2023-09-24_04:54:00.006016305, [1846, -28]
2023-09-24_04:54:00.006114933, [1994, -24]
2023-09-24_04:54:00.006213561, [2013, 15]
2023-09-24_04:54:00.006312189, [1571, -115]
2023-09-24_04:54:00.006410817, [1248, -203]
2023-09-24_04:54:00.006509445, [1363, -51]
2023-09-24_04:54:00.006608073, [1251, -94]
2023-09-24_04:54:00.006706701, [923, -234]
2023-09-24_04:54:00.006805329, [872, -231]
2023-09-24_04:54:00.006903957, [1141, -302]
2023-09-24_04:54:00.007002585, [1193, -332]
2023-09-24_04:54:00.007101213, [704, -259]
2023-09-24_04:54:00.007199841, [484, -198]
2023-09-24_04:54:00.007298469, [706, -141]
2023-09-24_04:54:00.007397097, [653, -157]
2023-09-24_04:54:00.007495724, [551, -106]
2023-09-24_04:54:00.007594352, [937, 43]
2023-09-24_04:54:00.007692980, [908, 25]
2023-09-24_04:54:00.007791608, [347, -67]
2023-09-24_04:54:00.007890236, [44, -6]
2023-09-24_04:54:00.007988864, [-21, -57]
2023-09-24_04:54:00.008087492, [-23, -278]
2023-09-24_04:54:00.008186120, [124, -283]
2023-09-24_04:54:00.008284748, [351, -133]
2023-09-24_04:54:00.008383376, [409, -79]
2023-09-24_04:54:00.008482004, [538, -140]
2023-09-24_04:54:00.008580632, [763, -169]
2023-09-24_04:54:00.008679260, [757, -170]
2023-09-24_04:54:00.008777888, [954, -130]
2023-09-24_04:54:00.008876516, [1357, -172]
2023-09-24_04:54:00.008975144, [1213, -220]
2023-09-24_04:54:00.009073772, [441, -259]
2023-09-24_04:54:00.009172400, [63, -303]
2023-09-24_04:54:00.009271028, [455, -258]
2023-09-24_04:54:00.009369656, [601, -201]
2023-09-24_04:54:00.009468284, [281, -262]
2023-09-24_04:54:00.009566912, [98, -319]
2023-09-24_04:54:00.009665540, [495, -157]
2023-09-24_04:54:00.009764168, [1258, -110]
2023-09-24_04:54:00.009862796, [1911, -141]
2023-09-24_04:54:00.009961423, [2342, -223]
2023-09-24_04:54:00.010060051, [2445, -362]
2023-09-24_04:54:00.010158679, [2422, -378]
2023-09-24_04:54:00.010257307, [2285, -385]
2023-09-24_04:54:00.010355935, [2057, -242]
2023-09-24_04:54:00.010454563, [2096, -33]
2023-09-24_04:54:00.010553191, [2067, 55]
2023-09-24_04:54:00.010651819, [1967, -44]
2023-09-24_04:54:00.010750447, [2545, -181]
2023-09-24_04:54:00.010849075, [3297, -218]
2023-09-24_04:54:00.010947703, [3561, -98]
