"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-320U3/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.000000000, [2813, -31]
2023-09-24_04:54:00.000098627, [2708, -78]
2023-09-24_04:54:00.000197255, [1755, -138]
2023-09-24_04:54:00.000295883, [904, -103]
2023-09-24_04:54:00.000394511, [825, 142]
2023-09-24_04:54:00.000493139, [1146, 236]
2023-09-24_04:54:00.000591767, [1347, 205]
2023-09-24_04:54:00.000690395, [1451, 156]
2023-09-24_04:54:00.000789023, [1932, 139]
2023-09-24_04:54:00.000887651, [2162, 16]
2023-09-24_04:54:00.000986279, [2183, -33]
2023-09-24_04:54:00.001084907, [2440, -59]
2023-09-24_04:54:00.001183535, [2302, -84]
2023-09-24_04:54:00.001282163, [1235, 73]
2023-09-24_04:54:00.001380791, [-368, 199]
2023-09-24_04:54:00.001479419, [-1427, 198]
2023-09-24_04:54:00.001578047, [-1323, 90]
2023-09-24_04:54:00.001676675, [-653, 75]
2023-09-24_04:54:00.001775303, [220, 118]
2023-09-24_04:54:00.001873931, [430, 53]
2023-09-24_04:54:00.001972559, [-32, 96]
2023-09-24_04:54:00.002071187, [315, 137]
2023-09-24_04:54:00.002169815, [1220, 107]
2023-09-24_04:54:00.002268443, [1825, 82]
2023-09-24_04:54:00.002367071, [1276, 237]
2023-09-24_04:54:00.002465699, [414, 452]
2023-09-24_04:54:00.002564326, [-56, 257]
2023-09-24_04:54:00.002662954, [202, -94]
2023-09-24_04:54:00.002761582, [782, -239]
2023-09-24_04:54:00.002860210, [623, -239]
2023-09-24_04:54:00.002958838, [-391, -148]
2023-09-24_04:54:00.003057466, [-1142, -35]
2023-09-24_04:54:00.003156094, [-719, -7]
2023-09-24_04:54:00.003254722, [316, -77]
2023-09-24_04:54:00.003353350, [739, -188]
2023-09-24_04:54:00.003451978, [284, -171]
2023-09-24_04:54:00.003550606, [-138, -91]
2023-09-24_04:54:00.003649234, [-12, -215]
2023-09-24_04:54:00.003747862, [542, -319]
2023-09-24_04:54:00.003846490, [729, -219]
2023-09-24_04:54:00.003945118, [-77, -3]
2023-09-24_04:54:00.004043746, [-1393, 119]
2023-09-24_04:54:00.004142374, [-2153, -1]
2023-09-24_04:54:00.004241002, [-1730, -203]
2023-09-24_04:54:00.004339630, [-514, -237]
2023-09-24_04:54:00.004438258, [53, -101]
2023-09-24_04:54:00.004536886, [-222, -137]
2023-09-24_04:54:00.004635514, [-285, -94]
2023-09-24_04:54:00.004734142, [132, 173]
2023-09-24_04:54:00.004832770, [336, 236]
2023-09-24_04:54:00.004931398, [-276, 35]
2023-09-24_04:54:00.005030025, [-1346, -161]
2023-09-24_04:54:00.005128653, [-1719, -65]
2023-09-24_04:54:00.005227281, [-1333, -3]
2023-09-24_04:54:00.005325909, [-459, 39]
2023-09-24_04:54:00.005424537, [-175, 90]
2023-09-24_04:54:00.005523165, [-825, 48]
2023-09-24_04:54:00.005621793, [-1105, -147]
2023-09-24_04:54:00.005720421, [-1390, -229]
2023-09-24_04:54:00.005819049, [-1490, -134]
2023-09-24_04:54:00.005917677, [-1232, -146]
2023-09-24_04:54:00.006016305, [-980, -41]
2023-09-24_04:54:00.006114933, [-659, 29]
